type_curve;period;week_start;week_finish;planned_value;planned_cumulative;actual_value;actual_cumulative;trend_value;trend_cumulative
GERAL;W01;2024-10-26;2024-11-02;0.000000;0.000000;0.000000;0.000000;;
GERAL;W02;2024-11-02;2024-11-09;0.010804;0.010804;0.010804;0.010804;;
GERAL;W03;2024-11-09;2024-11-16;0.008346;0.019150;0.008346;0.019150;;
GERAL;W04;2024-11-16;2024-11-23;0.008847;0.027997;0.008847;0.027997;;
GERAL;W05;2024-11-23;2024-11-30;0.005787;0.033783;0.005787;0.033783;;
GERAL;W06;2024-11-30;2024-12-07;0.005775;0.039559;0.005775;0.039559;;
GERAL;W07;2024-12-07;2024-12-14;0.014109;0.053667;0.014109;0.053667;;
GERAL;W08;2024-12-14;2024-12-21;0.006702;0.060369;0.006702;0.060369;;
GERAL;W09;2024-12-21;2024-12-28;0.002861;0.063231;0.002861;0.063231;;
GERAL;W10;2024-12-28;2025-01-04;0.002912;0.066143;0.002912;0.066143;;
GERAL;W11;2025-01-04;2025-01-11;0.003259;0.069402;0.003259;0.069402;;
GERAL;W12;2025-01-11;2025-01-18;0.004649;0.074051;0.004649;0.074051;;
GERAL;W13;2025-01-18;2025-01-25;0.067341;0.141391;0.067341;0.141391;;
GERAL;W14;2025-01-25;2025-02-01;0.006877;0.148269;0.006877;0.148269;;
GERAL;W15;2025-02-01;2025-02-08;0.027315;0.175584;0.027315;0.175584;;
GERAL;W16;2025-02-08;2025-02-15;0.016779;0.192363;0.016779;0.192363;;
GERAL;W17;2025-02-15;2025-02-22;0.021582;0.213945;0.021582;0.213945;;
GERAL;W18;2025-02-22;2025-03-01;0.014706;0.228651;0.014706;0.228651;;
GERAL;W19;2025-03-01;2025-03-08;0.007674;0.236325;0.007674;0.236325;;
GERAL;W20;2025-03-08;2025-03-15;0.008840;0.245164;0.008840;0.245164;;
GERAL;W21;2025-03-15;2025-03-22;0.009284;0.254448;0.009284;0.254448;;
GERAL;W22;2025-03-22;2025-03-29;0.010912;0.265360;0.010912;0.265360;;
GERAL;W23;2025-03-29;2025-04-05;0.005964;0.271324;0.005964;0.271324;;
GERAL;W24;2025-04-05;2025-04-12;0.006398;0.277722;0.006398;0.277722;;
GERAL;W25;2025-04-12;2025-04-19;0.008134;0.285856;0.008134;0.285856;;
GERAL;W26;2025-04-19;2025-04-26;0.008627;0.294483;0.008627;0.294483;;
GERAL;W27;2025-04-26;2025-05-03;0.009779;0.304262;0.009779;0.304262;;
GERAL;W28;2025-05-03;2025-05-10;0.010699;0.314961;0.010699;0.314961;;
GERAL;W29;2025-05-10;2025-05-17;0.010508;0.325469;0.010508;0.325469;;
GERAL;W30;2025-05-17;2025-05-24;0.011075;0.336544;0.011075;0.336544;;
GERAL;W31;2025-05-24;2025-05-31;0.012022;0.348566;0.012022;0.348566;;
GERAL;W32;2025-05-31;2025-06-07;0.012768;0.361334;0.012768;0.361334;;
GERAL;W33;2025-06-07;2025-06-14;0.012089;0.373423;0.012089;0.373423;;
GERAL;W34;2025-06-14;2025-06-21;0.007670;0.381092;0.007670;0.381092;;
GERAL;W35;2025-06-21;2025-06-28;0.007811;0.388903;0.007811;0.388903;;
